126.22,705.58,1716.30
126.22,705.59,1716.30
126.24,705.59,1716.33
126.45,705.59,1716.62
126.56,705.59,1716.77
126.79,705.99,1717.06
127.02,706.38,1717.34
127.13,706.57,1717.49
127.35,706.93,1717.78
127.46,707.10,1717.92
127.56,707.26,1718.07
127.76,707.56,1718.38
127.86,707.70,1718.53
128.05,707.95,1718.84
128.15,708.06,1718.99
128.35,708.26,1719.30
128.54,708.43,1719.61
128.64,708.50,1719.76
128.74,708.56,1719.92
128.84,708.62,1720.07
129.03,708.70,1720.38
129.23,708.75,1720.69
129.32,708.76,1720.84
129.52,708.76,1721.15
129.61,708.75,1721.31
129.80,709.13,1721.61
129.98,709.47,1721.92
130.06,709.63,1722.09
130.20,709.92,1722.42
130.27,710.05,1722.59
130.34,710.18,1722.75
130.48,710.40,1723.08
130.55,710.50,1723.25
130.69,710.68,1723.58
130.76,710.75,1723.75
130.91,710.88,1724.08
131.05,710.97,1724.41
131.11,711.00,1724.57
131.25,711.04,1724.91
131.32,711.05,1725.07
131.39,711.05,1725.24
131.53,711.03,1725.57
131.60,711.00,1725.74
131.74,710.93,1726.07
131.81,710.88,1726.23
131.95,710.75,1726.57
132.55,710.80,1724.66
132.92,710.96,1725.59
133.28,711.10,1726.52
133.64,711.22,1727.45
134.35,711.43,1729.32
135.05,711.59,1731.20
135.39,711.65,1732.14
136.06,711.72,1734.02
136.39,711.74,1734.96
136.72,711.74,1735.91
137.36,711.71,1737.80
137.67,711.67,1738.75
138.28,711.56,1740.66
138.58,711.48,1741.61
139.20,711.28,1743.51
139.80,711.03,1745.42
140.10,710.88,1746.37
140.68,710.55,1748.28
140.97,710.36,1749.24
141.52,709.95,1751.16
141.79,709.72,1752.13
142.06,709.48,1753.09
142.60,708.95,1755.00
142.88,708.67,1755.96
143.44,708.06,1757.85
144.00,707.40,1759.73
144.28,707.05,1760.67
144.83,706.31,1762.53
145.11,705.92,1763.46
145.66,705.10,1765.31
145.93,704.66,1766.23
146.20,704.22,1767.15
146.74,703.28,1768.98
147.01,702.80,1769.89
147.55,701.78,1771.70
148.09,700.72,1773.51
148.35,700.16,1774.40
148.88,699.01,1776.19
149.15,698.41,1777.08
149.67,697.18,1778.85
149.93,696.55,1779.73
150.45,695.23,1781.49
150.71,694.56,1782.36
150.97,693.86,1783.23
151.48,692.44,1784.96
151.99,690.97,1786.68
152.25,690.21,1787.54
152.75,688.65,1789.25
153.01,687.85,1790.10
153.51,686.21,1791.79
154.00,684.51,1793.47
154.25,683.65,1794.30
154.75,681.87,1795.97
155.24,680.04,1797.62
155.47,679.23,1798.30
154.99,679.22,1798.24
154.51,679.22,1798.18
154.06,679.20,1798.13
153.58,679.19,1798.06
152.70,679.15,1797.94
150.78,680.37,1788.60
149.14,689.56,1779.89
147.96,692.18,1775.23
147.01,694.79,1770.69
145.11,700.00,1761.60
150.89,705.17,1768.87
153.80,707.73,1772.48
156.73,710.28,1776.08
159.67,712.82,1779.67
165.61,717.86,1786.80
171.60,722.84,1793.89
174.63,725.31,1797.41
180.67,730.21,1804.45
183.69,732.64,1807.98
189.73,737.45,1815.02
165.96,737.45,1817.35
142.15,737.45,1819.37
94.48,737.45,1822.46
70.62,737.45,1823.54
46.74,737.45,1824.31
-1.03,737.45,1824.91
-1759.78,1431.55,1563.19
-1748.04,1431.55,1493.42
-1738.58,1431.55,1446.59
-1727.90,1431.55,1400.02
-1722.11,1431.55,1376.85
-1709.61,1431.55,1330.74
-1702.91,1431.55,1307.81
-1695.91,1431.55,1284.97
-1681.01,1431.55,1239.58
-1673.12,1431.55,1217.03
-1656.46,1431.55,1172.26
-1647.69,1431.55,1150.04
-1629.28,1431.55,1105.95
-1609.72,1431.55,1062.37
-1599.51,1431.55,1040.77
-1589.02,1431.55,1019.30
-1567.21,1431.55,976.80
-1555.89,1431.55,955.76
-1532.43,1431.55,914.15
-1507.88,1431.55,873.16
-1495.21,1431.55,852.91
-1482.27,1431.55,832.83
-1455.61,1431.55,793.19
-1427.93,1431.55,754.25
-1413.71,1431.55,735.06
-1399.23,1431.55,716.05
-1384.51,1431.55,697.24
-1354.34,1431.55,660.20
-1323.21,1431.55,623.96
-1307.29,1431.55,606.15
-1274.76,1431.55,571.16
-1258.15,1431.55,553.99
-1224.27,1431.55,520.31
-1189.52,1431.55,487.52
-1171.83,1431.55,471.47
-1135.82,1431.55,440.08
-1117.51,1431.55,424.74
-1099.00,1431.55,409.64
-1061.40,1431.55,380.17
-1042.31,1431.55,365.80
-1003.58,1431.55,337.84
-983.94,1431.55,324.23
-944.14,1431.55,297.81
-903.66,1431.55,272.43
-883.18,1431.55,260.14
-841.73,1431.55,236.37
-820.78,1431.55,224.90
-799.68,1431.55,213.70
-757.05,1431.55,192.13
-735.53,1431.55,181.77
-692.08,1431.55,161.90
-670.17,1431.55,152.39
-625.98,1431.55,134.23
-581.33,1431.55,117.24
-536.25,1431.55,101.42
-513.56,1431.55,93.96
